0.00000000	-100.64525490	-100.64525490	-100.64515090
2.00000000	-100.64525490	-100.64525490	-100.64515080
4.00000000	-100.64525500	-100.64525500	-100.64515070
6.00000000	-100.64525510	-100.64525510	-100.64515060
8.00000000	-100.64525520	-100.64525520	-100.64515040
10.00000000	-100.64525540	-100.64525530	-100.64515010
12.00000000	-100.64525560	-100.64525550	-100.64514980
14.00000000	-100.64525590	-100.64525570	-100.64514940
16.00000000	-100.64525610	-100.64525600	-100.64514900
18.00000000	-100.64525640	-100.64525630	-100.64514840
20.00000000	-100.64525680	-100.64525650	-100.64514790
22.00000000	-100.64525720	-100.64525690	-100.64514720
24.00000000	-100.64525750	-100.64525720	-100.64514640
26.00000000	-100.64525790	-100.64525750	-100.64514560
28.00000000	-100.64525840	-100.64525790	-100.64514470
30.00000000	-100.64525880	-100.64525820	-100.64514370
32.00000000	-100.64525920	-100.64525850	-100.64514250
34.00000000	-100.64525960	-100.64525880	-100.64514130
36.00000000	-100.64526000	-100.64525910	-100.64513990
38.00000000	-100.64526030	-100.64525930	-100.64513840
40.00000000	-100.64526060	-100.64525940	-100.64513680
42.00000000	-100.64526080	-100.64525950	-100.64513500
44.00000000	-100.64526090	-100.64525950	-100.64513300
46.00000000	-100.64526100	-100.64525930	-100.64513080
48.00000000	-100.64526090	-100.64525900	-100.64512850
50.00000000	-100.64526060	-100.64525850	-100.64512590
52.00000000	-100.64526020	-100.64525790	-100.64512300
54.00000000	-100.64525960	-100.64525700	-100.64511990
56.00000000	-100.64525880	-100.64525590	-100.64511650
58.00000000	-100.64525770	-100.64525450	-100.64511270
60.00000000	-100.64525640	-100.64525280	-100.64510870
62.00000000	-100.64525470	-100.64525080	-100.64510420
64.00000000	-100.64525280	-100.64524840	-100.64509930
66.00000000	-100.64525050	-100.64524550	-100.64509400
68.00000000	-100.64524770	-100.64524220	-100.64508820
70.00000000	-100.64524460	-100.64523840	-100.64508180
72.00000000	-100.64524090	-100.64523400	-100.64507480
74.00000000	-100.64523660	-100.64522880	-100.64506720
76.00000000	-100.64523160	-100.64522290	-100.64505870
78.00000000	-100.64522580	-100.64521600	-100.64504940
80.00000000	-100.64521900	-100.64520810	-100.64503910
82.00000000	-100.64521110	-100.64519870	-100.64502770
84.00000000	-100.64520190	-100.64518790	-100.64501490
86.00000000	-100.64519100	-100.64517510	-100.64500060
88.00000000	-100.64517820	-100.64516010	-100.64498460
90.00000000	-100.64516320	-100.64514240	-100.64496650
92.00000000	-100.64514550	-100.64512160	-100.64494600
94.00000000	-100.64512480	-100.64509710	-100.64492280
96.00000000	-100.64510060	-100.64506820	-100.64489620
98.00000000	-100.64507230	-100.64503430	-100.64486580
100.00000000	-100.64503950	-100.64499440	-100.64483080
102.00000000	-100.64500180	-100.64494760	-100.64479030
104.00000000	-100.64495860	-100.64489290	-100.64474320
106.00000000	-100.64490960	-100.64482910	-100.64468810
108.00000000	-100.64485450	-100.64475480	-100.64462340
110.00000000	-100.64479310	-100.64466860	-100.64454710
112.00000000	-100.64472520	-100.64456880	-100.64445700
114.00000000	-100.64465050	-100.64445350	-100.64435100
116.00000000	-100.64456850	-100.64432100	-100.64422660
118.00000000	-100.64447830	-100.64416890	-100.64408170
120.00000000	-100.64437900	-100.64399500	-100.64391390
122.00000000	-100.64426950	-100.64379680	-100.64372080
124.00000000	-100.64414870	-100.64357170	-100.64350000
126.00000000	-100.64401540	-100.64331710	-100.64324900
128.00000000	-100.64386850	-100.64303010	-100.64296500
130.00000000	-100.64370710	-100.64270810	-100.64264570
132.00000000	-100.64353030	-100.64234840	-100.64228840
134.00000000	-100.64333750	-100.64194870	-100.64189080
136.00000000	-100.64312830	-100.64150690	-100.64145100
138.00000000	-100.64290280	-100.64102150	-100.64096760
140.00000000	-100.64266140	-100.64049160	-100.64043960
142.00000000	-100.64240490	-100.63991700	-100.63986700
144.00000000	-100.64213470	-100.63929860	-100.63925060
146.00000000	-100.64185260	-100.63863810	-100.63859240
148.00000000	-100.64156110	-100.63793870	-100.63789550
150.00000000	-100.64126300	-100.63720470	-100.63716410
152.00000000	-100.64096150	-100.63644180	-100.63640400
154.00000000	-100.64066040	-100.63565710	-100.63562240
156.00000000	-100.64036350	-100.63485920	-100.63482770
158.00000000	-100.64007470	-100.63405770	-100.63402960
160.00000000	-100.63979810	-100.63326400	-100.63323940
162.00000000	-100.63953750	-100.63248990	-100.63246900
164.00000000	-100.63929620	-100.63174850	-100.63173110
166.00000000	-100.63907740	-100.63105300	-100.63103910
168.00000000	-100.63888360	-100.63041680	-100.63040620
170.00000000	-100.63871690	-100.62985260	-100.62984500
172.00000000	-100.63857890	-100.62937260	-100.62936760
174.00000000	-100.63847070	-100.62898720	-100.62898430
176.00000000	-100.63839290	-100.62870530	-100.62870400
178.00000000	-100.63834610	-100.62853350	-100.62853320
180.00000000	-100.63833050	-100.62847580	-100.62847570
182.00000000	-100.63834610	-100.62853350	-100.62853320
184.00000000	-100.63839290	-100.62870530	-100.62870400
186.00000000	-100.63847070	-100.62898720	-100.62898430
188.00000000	-100.63857890	-100.62937260	-100.62936760
190.00000000	-100.63871690	-100.62985260	-100.62984500
192.00000000	-100.63888360	-100.63041680	-100.63040620
194.00000000	-100.63907740	-100.63105300	-100.63103910
196.00000000	-100.63929620	-100.63174850	-100.63173110
198.00000000	-100.63953750	-100.63248990	-100.63246900
200.00000000	-100.63979810	-100.63326400	-100.63323940
202.00000000	-100.64007470	-100.63405770	-100.63402970
204.00000000	-100.64036350	-100.63485920	-100.63482770
