2		0.60769  0.15660 0.13443
3		0.77202  0.24298 0.20762
4		1.18436  0.50659 0.40723
5		1.81249  0.96352 0.80601
6		2.94563  1.86858 1.63313
7		5.12355  3.55192 3.35845
8		8.00570  6.47968 6.05351
9		11.91566  10.33526 9.76253
10		18.15225  15.94344 16.07867
11		28.19640  25.36234 24.48206
12		43.43839  38.76157 37.62568
13		61.48648  54.76972 54.57961
14		81.56332  81.17445 77.53759
15		132.40464  124.38639 122.74368
