2	0.73781 0.31244 0.29685
3	1.16450 0.54393 0.48289
4	1.96977 1.25113 1.25254
5	3.79461 2.75486 2.63024
6	6.77765 5.85379 5.87189
7	12.7586 12.30576 12.23770
8	22.7341 24.29394 22.27090
9	38.1036 35.46048 35.96750
10	63.3793 60.03804 59.55573
11	116.335 116.52233 95.65863
12	159.886 158.25129 159.38809
13	288.293 228.75008 231.73599
14	362.448 478.57635 355.12518
15	650.424 770.62399 617.02233
