  0.4681243     0.0000000  0.0000000     0.0000102     0.0000000     0.7449584
  0.0000000    -0.4682375  0.0000000     0.0000000     0.7448872     0.0000000
  0.0000000     0.0000000  0.8798314     0.0000000     0.0000000     0.0000000
  0.3427462     0.0000000  0.0000000     0.5774593     0.0000000    -0.5394732
  0.0000000     0.6348331  0.0000000     0.0000000     0.0749380     0.0000000
  0.0000000     0.0000000 -0.2744083     0.0000000     0.0000000     0.0000000
 -0.3903747    -0.4233146  0.0000000    -0.2887344    -0.2660973    -0.0787757
  0.4234383    -0.0983620  0.0000000    -0.4999028    -0.3859480    -0.2660775
  0.0000000     0.0000000 -0.2744055     0.0000000     0.0000000     0.0000000
 -0.3903747     0.4233146  0.0000000    -0.2887344     0.2660973    -0.0787757
 -0.4234383    -0.0983620  0.0000000     0.4999028    -0.3859480     0.2660775
  0.0000000     0.0000000 -0.2744055     0.0000000     0.0000000     0.0000000
